,,,,,,,
,,,,,,,
,,STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
,,2334,Indovinabank,Ngân hàng TNHH Indovina,,Khác,0
,,2335,INEXIM,CTCP Xuất nhập khẩu Hàng Công nghiệp,,Khác,0
,,2336,IneximDaklak,CTCP Đầu tư Xuất nhập khẩu Đăklăk,,OTC,0
,,2337,InPhucYen,CTCP In Phúc Yên,,OTC,0
,,2338,InSaiGon,CTCP Thương mại Dịch vụ Quảng Cáo In Sài Gòn,,OTC,0
,,2339,InSo7,CTCP In Số 7,,OTC,"2,000,000"
,,2340,InTaiChinh,CTCP In Tài chính,,OTC,0
,,2341,InThongNhat,CTCP In và Thương mại Thống Nhất,,OTC,0
,,2342,InTienGiang,CTCP In Tiền Giang,,OTC,0
,,2343,Intimex,CTCP Tập đoàn Intimex,,OTC,0
,,2344,Intimexco,CTCP Intimex Việt Nam,,OTC,0
,,2345,InTranPhu,CTCP In Trần Phú,,OTC,0
,,2346,InVanHoaPham,CTCP In và Văn Hóa Phẩm,,OTC,0
,,2347,INVESTCOM,CTCP Đầu tư Investcom,,OTC,0
,,2348,INVESTREAL,CTCP Đầu tư và Kinh doanh Bất động sản,,OTC,"7,000,000"
,,2349,IPAM,Công ty TNHH MTV Quản lý Quỹ đầu tư Chứng khoán I.P.A,,Khác,0
,,2350,IPC,Công ty TNHH MTV Phát triển Công nghiệp Tân Thuận,,Khác,0
,,2351,IPH,CTCP In và Phát hành biểu mẫu Thống kê,Dịch vụ chuyên biệt và thương mại,OTC,"1,000,000"
,,2352,IRS,CTCP Chứng khoán Quốc tế Hoàng Gia,,OTC,"13,500,000"
,,2353,ISC,CTCP Chứng khoán Công nghiệp Việt Nam,,OTC,0
,,2354,ITOAudit,Công ty TNHH Kiểm toán I.T.O,,Khác,0
,,2355,IVAM,CTCP Quản lý Quỹ Trí tuệ Việt Nam,,OTC,"11,600,000"
,,2356,JBC5,CTCP Vật liệu Xây dựng và Xây lắp Số 5,,OTC,0
,,2357,JIVF,Công ty Tài chính TNHH MTV Quốc tế Việt Nam JACCS,,Khác,0
,,2358,JPMorgan,Ngân hàng JP Morgan Chase N.A Chi Nhánh Thành phố Hồ Chí Minh,,Khác,0
,,2359,JSC,CTCP Đầu tư và Xây dựng Cầu đường Hà Nội,Tư liệu sản xuất,OTC,"1,550,000"
,,2360,JSI,Công ty TNHH Chứng khoán Nhật Bản,,OTC,"4,100,000"
,,2361,KAFI,CTCP Chứng khoán KAFI,,OTC,0
,,2362,KAL,CTCP Nhôm Khánh Hoà,,OTC,0
,,2363,KASJSC,CTCP Xây lắp và Dịch vụ Bưu điện Kiên Giang,,OTC,0
,,2364,KBE,CTCP Sách Thiết bị Trường học Kiên Giang,Truyền thông và giải trí,OTC,"1,231,060"
,,2365,KBT,CTCP Gạch ngói Kiên Giang,Nguyên vật liệu,OTC,"3,001,699"
,,2366,KCNBacGiang,Công ty Phát triển Hạ tầng Khu Công nghiệp Bắc Giang,,Khác,0
,,2367,KDF,CTCP Thực phẩm Đông lạnh KIDO,"Thực phẩm, đồ uống và thuốc lá",Khác,"56,000,000"
,,2368,KGTICJC,CTCP Xây dựng Giao thông Thuỷ Lợi Kiên Giang,,OTC,0
,,2369,KGU,CTCP Phát triển Đô thị Kiên Giang,Dịch vụ tiện ích,OTC,"1,489,573"
,,2370,KHA,CTCP Đầu tư và Dịch vụ Khánh Hội,Phát triển và quản lý bất động sản,OTC,"14,120,309"
,,2371,KHAFEED,Công ty TNHH MTV Thức ăn Chăn nuôi Khatoco,,Khác,0
,,2372,Khaithacda,CTCP Khai Thác Đá Thừa Thiên Huế,,OTC,"1,000,000"
,,2373,KhanhTan,CTCP Khánh Tân,,OTC,0
,,2374,KHATOCO,CTCP In Bao bì Khatoco,,OTC,0
,,2375,KHB,CTCP Khoáng sản Hòa Bình,Nguyên vật liệu,OTC,"29,075,499"
,,2376,KHOANGSAN4,CTCP Phát triển Khoáng sản 4,,OTC,0
,,2377,KhoangSanPhuYen,CTCP Khoáng sản Phú Yên,,OTC,0
,,2378,KhoangSanSongDa,CTCP Khai Thác và Chế Biến Khoáng Sản Sông Đà,,OTC,0
,,2379,KhoaVietTiep,CTCP Khóa Việt - Tiệp,,OTC,0
,,2380,Kido,CTCP KIDO,,OTC,"6,900,000"
,,2381,KiemNghia,CTCP Kiềm Nghĩa,,OTC,0
,,2382,KienGiangPetro,CTCP Dầu khí Dương Đông Kiên Giang,,OTC,0
,,2383,KienHungAudit,Công ty TNHH Kế toán Kiểm toán và Tin học Kiến Hưng,,Khác,0
,,2384,KienTrucADC,CTCP Xây dựng Trang trí Kiến trúc ADC,,OTC,0
,,2385,KIENTUONG,Công ty TNHH MTV Cấp thoát nước và Môi trường Kiến Tường,,Khác,0
,,2386,Kigitraco,CTCP Kinh doanh Nông Sản Kiên Giang,,OTC,"4,000,000"
,,2387,KIGIWI,CTCP Vận tải Thuỷ Bộ Kiên Giang,,OTC,"2,114,600"
,,2388,KimAnh,CTCP Chè Kim Anh,,OTC,"1,049,980"
,,2389,KimKhiBacThai,CTCP Kim khí Bắc Thái,,OTC,0
,,2390,KimLien,CTCP Du lịch Kim Liên,,OTC,0
,,2391,KimOanh,CTCP Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,,OTC,0
,,2392,KimTuThap,CTCP Công nghệ Mới Kim Tự Tháp Việt Nam,,OTC,"4,000,000"
,,2393,KinhDoLand,CTCP Địa Ốc Kinh Đô,,OTC,"10,000,000"
,,2394,KIS,CTCP Chứng khoán KIS Việt Nam,,OTC,"26,364,600"
,,2395,KISUCO,CTCP Mía Đường Kiên Giang,,OTC,0
,,2396,KLM,CTCP Kim loại màu Nghệ Tĩnh,Nguyên vật liệu,OTC,"3,885,000"
,,2397,KLS,CTCP Chứng khoán Kim Long,Dịch vụ tài chính,OTC,"202,500,000"
,,2398,KMF,CTCP Mirae Fiber,Hàng tiêu dùng và trang trí,OTC,0
,,2399,KNITEXIM,CTCP Haprosimex Thăng Long,,OTC,0
,,2400,KPC,CTCP Đầu tư Sản xuất Thương mại Kim Phong,,OTC,0
,,2401,KPMG,Công ty TNHH KPMG Việt Nam,,Khác,0
,,2402,KRESTON,Công ty TNHH Kiểm toán KRESTON ACA Việt Nam,,Khác,0
,,2403,KSA,CTCP Công nghiệp khoáng sản Bình Thuận,Nguyên vật liệu,OTC,"93,427,360"
,,2404,KSC,CTCP Muối Khánh Hòa,"Thực phẩm, đồ uống và thuốc lá",OTC,"3,739,823"
,,2405,KSE,CTCP Xuất khẩu Thủy sản Khánh Hòa,"Thực phẩm, đồ uống và thuốc lá",OTC,"1,476,000"
,,2406,KSG,CTCP Khoáng sản và Vật liệu Xây dựng Gia Lai,,OTC,0
,,2407,KSHCPhuTho,Xí nghiệp Khai thác - Dịch vụ Khoáng sản và Hóa chất Phú Thọ,,Khác,0
,,2408,KSIAudit,Công ty TNHH Kiểm toán KSI Việt Nam,,Khác,0
,,2409,KSK,CTCP Khoáng sản Luyện kim màu,Nguyên vật liệu,OTC,"23,888,000"
,,2410,KSS,CTCP Khoáng sản Na Rì Hamico,Nguyên vật liệu,OTC,"49,432,500"
,,2411,KTAChau,Công ty TNHH Kiểm toán Á Châu,,Khác,0
,,2412,KTB,CTCP Đầu tư Khoáng sản Tây Bắc,Nguyên vật liệu,OTC,"40,200,000"
,,2413,KTBX,CTCP Bến xe KonTum,,OTC,0
,,2414,KTCAudit,Công ty TNHH Kiểm toán và Tư vấn Doanh Nghiệp KTC,,Khác,0
,,2415,KTMienTrung,Công ty TNHH Kiểm toán Miền Trung,,Khác,0
,,2416,KTQuocgia,Công ty TNHH Kiểm toán Độc lập Quốc gia Việt Nam,,Khác,0
,,2417,KTSKienGiang,Công ty TNHH MTV Thương mại Dịch vụ Kiên Giang,,Khác,0
,,2418,KTU,CTCP Môi trường Đô thị Kon Tum,Dịch vụ chuyên biệt và thương mại,OTC,"1,210,330"
,,2419,KTV,Công ty TNHH Kiểm toán KTV,,Khác,0
,,2420,KTXaydungVN,Công ty TNHH Kiểm toán Tư vấn Xây dựng Việt Nam,,Khác,0
,,2421,KVAC,Công ty TNHH Kiểm toán Tư vấn Khang Việt,,Khác,0
,,2422,KVS,CTCP Chứng khoán BIS,,OTC,"4,000,000"
,,2423,LacHong,CTCP Đầu tư Lạc Hồng,,OTC,0
,,2424,LamDong,CTCP Xây dựng Số 1 Lâm Đồng,,OTC,0
,,2425,LamNghiepBD,Công ty TNHH MTV Lâm nghiệp Bình Dương,,Khác,0
,,2426,LamSankienGiang,CTCP Nông Lâm Sản Kiên Giang,,OTC,"6,393,310"
,,2427,LaNga,CTCP Đầu tư La Ngà,,OTC,"1,500,000"
,,2428,Lanmak,CTCP Đầu tư Xây dựng Bất động sản Lanmak,,OTC,0
,,2429,LaoDongQuocTe,CTCP Xây dựng và Cung ứng Lao động Quốc tế,,OTC,0
,,2430,LaoVietBank,Ngân hàng Liên doanh Lào - Việt,,Khác,0
,,2431,Lasotra,CTCP Thương mại Lạng Sơn,,OTC,0
,,2432,LBC,CTCP Thương mại - Đầu tư Long Biên,Phân phối và bán lẻ hàng lâu bền,OTC,"1,500,000"
,,2433,LBMi,CTCP Lê Bảo Minh,,Khác,0
,,2434,LCO,CTCP Licogi 16.1,,OTC,"1,500,000"
,,2435,LCW,CTCP Nước sạch Lai Châu,Dịch vụ tiện ích,OTC,"21,586,514"
,,2436,LeQuanTech,Công ty TNHH Kỹ thuật Lê Quân,,Khác,0
,,2437,Liberty,CTCP Quê Hương - Liberty,,OTC,"64,900,000"
,,2438,LibertyInsurance,Công ty TNHH Bảo hiểm Phi Nhân thọ Liberty Việt Nam,,Khác,0
,,2439,LIBREXCO,Công ty TNHH MTV Chăn nuôi Tiền Giang,,Khác,"5,100,000"
,,2440,Licogi16,CTCP Licogi 16 M&C,,OTC,0
,,2441,Licogi162,CTCP Xây dựng Licogi 16.2,,OTC,0
,,2442,Licogi165,CTCP Licogi 16.5,,OTC,0
,,2443,Licogi169,CTCP Licogi 16.9,,OTC,"3,600,000"
,,2444,Lidovit,CTCP Công nghiệp và Thương mại LIDOVIT,,OTC,0
,,2445,LIKSIN,Tổng Công ty Công nghiệp - In - Bao bì Liksin TNHH MTV,,Khác,0
,,2446,LilamaHN,CTCP Lilama Hà Nội,,OTC,0
,,2447,LilamaPhaLai,CTCP Lilama 69-1 Phả Lại,,OTC,0
,,2448,LinhGas,CTCP Linh Gas Việt Nam,,OTC,0
,,2449,LMR,CTCP Liên Minh,,OTC,"10,000,000"
,,2450,LOGOS,Công ty TNHH với Kế toán và Kiểm toán,,Khác,
,,2451,LongTho,CTCP Long Thọ,,OTC,0
,,2452,LotusIMC,CTCP Quản lý Quỹ Bông Sen,,OTC,0
,,2453,LPBankI,Tổng CTCP Bảo hiểm LPBank,,Khác,0
,,2454,LungLo3,Công ty TNHH MTV Lũng Lô 3,,Khác,0
,,2455,LuongMyPoultry,CTCP Giống Gia Cầm Lương Mỹ,,OTC,0
,,2456,LuongSonHoaBinh,CTCP Xi măng Vinaconex Lương Sơn Hoà Bình,,OTC,0
,,2457,LVC,CTCP Quản lý Quỹ Lộc Việt,,OTC,0
,,2458,LVN,CTCP Len Việt Nam,,OTC,0
,,2459,LVS,CTCP Chứng khoán LPBank,,OTC,"12,500,000"
,,2460,LWPC,Công ty Thế giới Lào,,Lào,0
,,2461,LWS,CTCP Cấp nước Tỉnh Lào Cai,Dịch vụ tiện ích,OTC,"17,717,665"
,,2462,LXS,CTCP Chứng khoán Lanexang,,Lào,0
,,2463,LYF,CTCP Lương thực Lương Yên,"Thực phẩm, đồ uống và thuốc lá",OTC,300
,,2464,MAAC,Công ty TNHH Quản Lý - Kiểm toán - Tư vấn M.A.A.C,,Khác,0
,,2465,MAFC,Công ty Tài chính TNHH MTV Mirae Asset,,Khác,0
,,2466,MAFEQI,Quỹ đầu tư Cổ phiếu Manulife,,OTC,"6,511,338"
,,2467,MAFPF1,Quỹ đầu tư tăng trưởng Manulife,Dịch vụ tài chính,OTC,"21,409,530"
,,2468,MaiDong,Công ty TNHH MTV Mai Động,,Khác,0
,,2469,Manulife,Công ty TNHH Manulife (Việt Nam),,Khác,0
,,2470,ManulifeAM,Công ty TNHH Quản lý Quỹ Manulife Investment (Việt Nam),,Khác,0
,,2471,MAX,CTCP Khai khoáng và Cơ khí Hữu Nghị Vĩnh Sinh,Nguyên vật liệu,OTC,"7,200,000"
,,2472,MayDongA,CTCP Dệt may Đông Á,,OTC,"3,650,000"
,,2473,MayLongAn,CTCP Cơ khí và Chế tạo Máy Long An,,OTC,0
,,2474,MayPhuongDong,CTCP May Phương Đông,,OTC,0
,,2475,MaySaiGon2,CTCP May Sài Gòn 2,,OTC,0
,,2476,MaySaiGon3,CTCP May Sài Gòn 3,,OTC,0
,,2477,MayThangLong,CTCP May Thăng Long,,OTC,"2,330,670"
,,2478,MayVietThang,CTCP May Việt Thắng,,OTC,"1,600,000"
,,2479,MayVietThinh,CTCP May Việt Thịnh,,OTC,"26,000,000"
,,2480,Mazars,Công ty TNHH Mazars Việt Nam,,Khác,0
,,2481,MBAgeasLife,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,,Khác,0
,,2482,MBCapital,CTCP Quản lý Quỹ đầu tư MB,,OTC,0
,,2483,MBEF1,Quỹ đầu tư Cổ phần MB Capital 1,,Khác,0
,,2484,MBKE,Công ty TNHH Chứng khoán Maybank,,Khác,"20,000,000"
,,2485,MBVF,Quỹ đầu tư Giá trị MB Capital,,OTC,"11,907,937"
,,2486,MC3,CTCP Khoáng sản 3 - Vimico,Nguyên vật liệu,OTC,"3,500,000"
,,2487,Mccons,CTCP Thi công Cơ giới và Dịch vụ,,OTC,"3,510,000"
,,2488,MCD,CTCP Môi trường và Công trình Đô thị Đông Hà,Dịch vụ tiện ích,OTC,"332,019"
,,2489,MCI,CTCP Đầu tư Xây dựng và Phát triển Vật liệu IDICO,Tư liệu sản xuất,OTC,"3,500,000"
,,2490,MCJ,CTCP Thiết bị Phụ tùng,,OTC,"5,000,000"
,,2491,MCL,CTCP Phát triển Nhà và Sản xuất Vật liệu Xây dựng Chí Linh,Nguyên vật liệu,OTC,"2,220,000"
,,2492,MCS,CTCP Thi công Cơ giới Xây lắp,,OTC,"3,500,000"
,,2493,MCT,CTCP Kinh doanh Vật Tư và Xây dựng,Nguyên vật liệu,OTC,"2,500,000"
,,2494,MCV,CTCP Cavico Việt Nam Khai thác mỏ và Xây dựng,Tư liệu sản xuất,OTC,"12,092,161"
,,2495,MDB,Ngân hàng TMCP Phát triển Mê Kông,,Khác,"375,000,000"
,,2496,MDFVINAFOR,Công ty TNHH MDF Vinafor – Tân An Hòa Bình,,Khác,0
,,2497,MDN,CTCP Tổng Công ty May Đồng Nai,Hàng tiêu dùng và trang trí,OTC,"10,935,584"
,,2498,MDT,CTCP Cơ khí mỏ và Đóng tàu - TKV,Tư liệu sản xuất,OTC,"1,510,000"
,,2499,MEBI,CTCP Dược phẩm và Sinh học Y tế,,OTC,0
,,2500,MECO,CTCP Cơ điện Luyện kim Thái Nguyên,,OTC,0
,,2501,Medico,CTCP Phát triển khoáng Sản,,OTC,0
,,2502,Mediplast,CTCP Nhựa Y tế Mediplast,,OTC,0
,,2503,MEG,CTCP Megram,Hàng tiêu dùng và trang trí,OTC,"44,000,000"
,,2504,MekongCapital,Công ty TNHH Tư vấn Mekong Capital,,Khác,0
,,2505,MEKONIMEX,CTCP Nông sản Thực phẩm Xuất khẩu Cần Thơ,,OTC,0
,,2506,MHAuditing,Công ty TNHH Kiểm toán M&H,,Khác,0
,,2507,MHB,Ngân hàng TMCP Phát triển Nhà Đồng bằng sông Cửu Long,,Khác,"306,215,200"
,,2508,MHBS,CTCP Chứng khoán MHB,,OTC,"14,000,000"
,,2509,MHDAudit,Công ty TNHH Kiểm toán MHD,,Khác,0
,,2510,MHP,CTCP Môi trường và Dịch vụ Đô thị Việt Trì,Dịch vụ chuyên biệt và thương mại,OTC,"3,583,140"
,,2511,MHY,CTCP Môi trường và Công trình Đô thị Hưng Yên,Dịch vụ chuyên biệt và thương mại,OTC,"31,800"
,,2512,MiaDuongBenTre,CTCP Mía đường Bến Tre,,OTC,0
,,2513,MiaDuongNongCong,CTCP Mía Đường Nông Cống,,OTC,0
,,2514,MiaDuongSonDuong,CTCP Mía đường Sơn Dương,,OTC,0
,,2515,MienTrung,CTCP Đầu tư và Phát triển Miền Trung,,OTC,0
,,2516,MIH,CTCP Xuất nhập khẩu Khoáng sản Hà Nam,Nguyên vật liệu,OTC,"4,000,000"
,,2517,MINEXCO,CTCP Khoáng sản và Đầu tư Khánh Hòa,,OTC,0
,,2518,MinhPhuc,CTCP Sản xuất và Thương mại Minh Phúc,,OTC,"4,757,770"
,,2519,MinhVietCapital,CTCP Quản lý Quỹ PAVO CAPITAL,,OTC,0
,,2520,MiraeAsset,CTCP Chứng khoán Mirae Asset (Việt Nam),,Khác,0
,,2521,MIREX,CTCP Khoáng sản và Luyện kim Việt Nam,,OTC,0
,,2522,MIWACO,CTCP Nước khoáng và Du Lịch Sơn Kim,,OTC,0
,,2523,MJC,CTCP Thương mại Mộc Hóa,Phân phối và bán lẻ hàng lâu bền,OTC,"1,596,620"
,,2524,MKT,CTCP Dệt Minh Khai,Hàng tiêu dùng và trang trí,OTC,"3,200,000"
,,2525,MLG,CTCP Tập đoàn Mai Linh,,OTC,"70,716,427"
,,2526,MLN,CTCP Mai Linh Miền Bắc,Vận tải,Khác,"48,625,332"
,,2527,MMC,CTCP khoáng Sản Mangan,Nguyên vật liệu,Khác,"3,160,000"
,,2528,MNC,CTCP Mai Linh Miền Trung,Vận tải,Khác,"9,279,261"
,,2529,MobiFone,Tổng Công ty Viễn thông MobiFone - Công ty TNHH MTV,,Khác,0
,,2530,MOBITECHS,CTCP Dịch vụ Kỹ thuật và Hạ tầng Mạng Thông Tin Di Động,,OTC,0
,,2531,MotorVN,CTCP United Motor Việt Nam,,OTC,"37,500,000"
,,2532,MSC,CTCP Dịch vụ Phú Nhuận,Phân phối và bán lẻ hàng lâu bền,OTC,"22,500,000"
,,2533,MSGS,Công ty TNHH chứng khoán JB Việt Nam,,Khác,"30,000,000"
,,2534,MSI,CTCP Chứng khoán KB Việt Nam,,OTC,0
,,2535,MTJ,CTCP Tư vấn và Xây dựng công trình Miền Trung,,OTC,"4,500,000"
,,2536,MTM,CTCP mỏ và Xuất nhập khẩu Khoáng sản Miền Trung,Nguyên vật liệu,OTC,"31,000,000"
,,2537,MVY,CTCP Môi trường và Dịch vụ Đô Thị Vĩnh Yên,Dịch vụ chuyên biệt và thương mại,OTC,"5,969,946"
,,2538,MXC,Trung tâm Nông nghiệp Mùa Xuân,Nguyên vật liệu,OTC,"700,938"
,,2539,MyKhe,CTCP Mỹ Khê Việt Nam,,OTC,0
,,2540,MyPhamSG,CTCP Mỹ phẩm Sài Gòn,,OTC,0
,,2541,Nakydaco,CTCP Dầu thực vật Tân Bình,,OTC,"4,310,000"
,,2542,NamChien,CTCP Thủy điện Nậm Chiến,,OTC,0
,,2543,NAMCO,CTCP Khoáng sản Nghệ An,,OTC,0
,,2544,NamKhang,CTCP Đầu tư Nam Khang,,OTC,"8,300,000"
,,2545,NamMuc,CTCP Thủy điện Nậm Mức,,OTC,0
,,2546,NamThi,CTCP Thủy điện Nậm Thi - Sông Đà 7,,OTC,0
,,2547,NamTrieu,CTCP Công nghiệp Tàu thủy và Xây dựng Nam Triệu,,OTC,0
,,2548,NamVietOil,CTCP Lọc Hoá Dầu Nam Việt,,OTC,0
,,2549,Natraco,CTCP Thương mại Nghệ An,,OTC,0
,,2550,NBN,CTCP Xây dựng Công trình 545,,OTC,0
,,2551,NBR,CTCP Đường sắt Nghĩa Bình,Vận tải,OTC,"1,806,000"
,,2552,NBS,CTCP Bến xe Nghệ An,Vận tải,OTC,"3,153,200"
,,2553,NCP,CTCP Nhiệt điện Cẩm Phả - TKV,Dịch vụ tiện ích,Khác,"196,980,622"
,,2554,NgocHy,CTCP Dịch vụ In Trần Ngọc Hy Cà Mau,,OTC,0
,,2555,NgocTung,CTCP Sản xuất Thương mại Dịch vụ Ngọc Tùng,,OTC,0
,,2556,NgoVietNam,CTCP Đầu tư Phát triển Ngô Việt Nam,,OTC,0
,,2557,NhaBeTech,CTCP Tư vấn Công nghệ Nhà Bè,,OTC,0
,,2558,NHACANTHO,Công ty TNHH MTV Phát triển và Kinh doanh Nhà Thành phố Cần Thơ,,Khác,0
,,2559,NhanLuc,CTCP Phát triển Nguồn nhân lực LOD,,OTC,0
,,2560,NhaSaiGon,CTCP Đầu tư Xây dựng và Kinh doanh Nhà Sài Gòn,,OTC,0
,,2561,NhatMinhAudit,Công ty TNHH Kiểm toán Nhất Minh,,Khác,0
,,2562,NhatNam,CTCP Nhất Nam,,OTC,0
,,2563,NHDulieu,Công ty TNHH Ngân hàng Dữ liệu,,Khác,0
,,2564,NhietDienMienBac,CTCP Dịch vụ Sửa chữa Nhiệt điện Miền Bắc,,OTC,0
,,2565,NHN,CTCP Phát triển Đô thị Nam Hà Nội,Phát triển và quản lý bất động sản,OTC,"200,000,000"
,,2566,NhoQue1,CTCP Thủy điện Nho Quế 1,,OTC,0
,,2567,NHS,CTCP Đường Ninh Hòa,"Thực phẩm, đồ uống và thuốc lá",OTC,"60,750,000"
,,2568,NHSV,Công ty TNHH Chứng khoán NH Việt Nam,,Khác,0
,,2569,NhuNgoc,CTCP Sản xuất và Thương mại Xuất nhập khẩu Như Ngọc,,OTC,0
,,2570,NHW,CTCP Ngô Han,Chất bán dẫn và thiết bị bán dẫn,OTC,"22,950,627"
,,2571,NIC,CTCP Đầu tư Nhơn Trạch,,OTC,0
,,2572,Nicotex,CTCP Nicotex,,Khác,0
,,2573,NinhBac,CTCP Đầu tư Tài chính Ninh Bắc,,OTC,0
,,2574,NIS,CTCP Dịch vụ Hạ tầng Mạng,Dịch vụ viễn thông,OTC,"3,000,000"
,,2575,NISACO,CTCP Muối Ninh Thuận,,OTC,0
,,2576,NKD,CTCP Chế biến thực phẩm Kinh Đô Miền Bắc,"Thực phẩm, đồ uống và thuốc lá",OTC,"15,124,213"
,,2577,NLC,CTCP Thủy điện Nà Lơi,Dịch vụ tiện ích,OTC,"5,000,000"
,,2578,NMK,CTCP Xây dựng Công trình 510,Tư liệu sản xuất,OTC,"2,700,000"
,,2579,NNB,CTCP Cấp thoát nước Ninh Bình,Dịch vụ tiện ích,OTC,"15,080,000"
,,2580,NNG,CTCP Công nghiệp - Dịch vụ - Thương mại Ngọc Nghĩa,Nguyên vật liệu,OTC,"81,570,988"
,,2581,NNQ,CTCP Giống Nông nghiệp Quảng Nam,Dịch vụ chuyên biệt và thương mại,OTC,"1,281,303"
,,2582,NoiHoiVN,CTCP Nồi hơi Việt Nam,,OTC,0
,,2583,NongSanNinhThuan,CTCP Xuất khẩu Nông sản Ninh Thuận,,OTC,0
,,2584,NovaGroup,CTCP Tập đoàn NovaGroup,,OTC,0
,,2585,NPH,CTCP Khách Sạn Bưu Điện Nha Trang,Dịch vụ tiêu dùng,OTC,"2,000,000"
,,2586,NPS,CTCP May Phú Thịnh - Nhà Bè,Hàng tiêu dùng và trang trí,OTC,"2,170,000"
,,2587,NS3,CTCP Sản xuất Kinh doanh Nước sạch Số 3 Hà Nội,Dịch vụ tiện ích,OTC,"7,919,999"
,,2588,NSCTech,CTCP Công nghệ NCS,,OTC,"4,000,000"
,,2589,NSI,CTCP Chứng khoán Quốc Gia,,OTC,"5,000,000"
,,2590,NSN,CTCP Xây dựng 565,Tư liệu sản xuất,OTC,"2,959,314"
,,2591,NSP,CTCP Nhựa Sam Phú,Nguyên vật liệu,OTC,"5,000,000"
,,2592,NTR,CTCP Đường sắt Nghệ Tĩnh,Vận tải,OTC,"1,492,000"
,,2593,NTS,CTCP Nội thất SHINEC,,OTC,"2,000,000"
,,2594,NuiPhao,Công ty TNHH Khai thác chế biến khoáng sản Núi Pháo,,Khác,0
,,2595,Nuocdathuysan,CTCP Nước đá Thủy sản Kiên giang,,OTC,0
,,2596,NuocQuangNam,CTCP Cấp thoát nước Quảng Nam,,OTC,"21,600,000"
,,2597,NuocSachLaoCai,Công ty TNHH MTV Kinh doanh Nước sạch Lào Cai,,Khác,0
,,2598,Nutifood,CTCP Thực phẩm Dinh dưỡng Đồng Tâm,,OTC,0
,,2599,NVC,CTCP Nam Vang,Phân phối và bán lẻ hàng lâu bền,OTC,"16,000,000"
,,2600,NVN,CTCP Nhà Việt Nam,Phát triển và quản lý bất động sản,OTC,"10,656,800"
,,2601,NVS,CTCP Chứng khoán Navibank,,OTC,"3,500,000"
,,2602,Oceanbank,Ngân hàng Thương mại TNHH MTV Đại Dương,,Khác,0
,,2603,OLC,"CTCP Xây dựng, Dịch vụ và Hợp tác Lao động",,OTC,0
,,2604,OMC,CTCP Quản lý Quỹ Đầu tư Lighthouse,,OTC,0
,,2605,ORC,CTCP Bán lẻ và Quản lý Bất động sản Đại Dương,,OTC,0
,,2606,OSC,CTCP Chứng khoán Đại Tây Dương,,OTC,"13,500,000"
,,2607,OSCVN,CTCP Du lịch Dịch vụ Dầu khí Việt Nam,,OTC,0
,,2608,Oseven,CTCP Oseven,,OTC,"111,600,000"
,,2609,OTG,CTCP Otran Logistics,,OTC,0
,,2610,OtoTienGiang,CTCP Vận tải Ô Tô Tiền Giang,,OTC,0
,,2611,PacificAudit,Công ty TNHH Kiểm toán Thái Bình Dương,,Khác,0
,,2612,PACKEXIM,CTCP Sản xuất và Xuất nhập khẩu Bao bì,,OTC,0
,,2613,Packsimex,CTCP Xuất nhập khẩu Sản xuất Gia công và Bao bì,,OTC,0
,,2614,PACO,Công ty TNHH Dịch vụ Kiểm toán và Tư vấn Kế toán Bắc Đẩu,,Khác,0
,,2615,PAMCO,CTCP Quản lý Quỹ Leadvisors,,OTC,0
,,2616,PBK,CTCP Điện lực Dầu khí Bắc Kạn,Dịch vụ tiện ích,OTC,"8,642,300"
,,2617,PDAC,Công ty TNHH Kiểm toán và Tư vấn Phan Dũng,,Khác,0
,,2618,PDT,CTCP Thương mại Dầu khí Đồng Tháp,Phân phối và bán lẻ hàng lâu bền,OTC,"773,526"
,,2619,PeaceTour,CTCP Du lịch Hòa Bình Việt Nam,,OTC,0
,,2620,PetroKienGiang,CTCP Xăng dầu Dầu khí Kiên Giang,,OTC,0
,,2621,PETROMAT,CTCP Vật tư Xăng dầu Petec,,OTC,0
,,2622,PETROMEKONG,CTCP Vận tải Dầu khí Mê Kông,,OTC,0
,,2623,PetroTrade,Công ty Thương mại Xăng dầu Lào,,Lào,"235,000,000"
,,2624,PetroVietnam,Tập đoàn Dầu khí Việt Nam,,Khác,0
,,2625,PFH,CTCP Đầu tư Tài chính Bảo hiểm Dầu khí,,OTC,0
,,2626,PFI,CTCP Đầu tư Tài chính Công đoàn Dầu khí Việt Nam,,OTC,0
,,2627,PFV,CTCP Đầu tư và Thương mại PFV,Phát triển và quản lý bất động sản,OTC,"60,000,000"
,,2628,PhanPhoiVietnam,CTCP Đầu tư và Phát triển Hệ thống Phân phối Việt Nam,,OTC,0
,,2629,PhanVu,CTCP Đầu tư Phan vũ,,OTC,"15,000,000"
,,2630,PHFM,CTCP Quản lý Quỹ Phú Hưng,,OTC,0
,,2631,PhimGiaiPhong,CTCP Phim Giải phóng,,OTC,0
,,2632,PhimThienNgan,CTCP Phim Thiên Ngân,,OTC,0
,,2633,PHT,CTCP Sản xuất và Thương mại Phúc Tiến,Nguyên vật liệu,OTC,"21,440,030"
,,2634,PhuDat,CTCP Đầu tư và Xây dựng Dầu khí Phú Đạt,,OTC,"43,000,000"
