,,,,,,,
,,,,,,,
,,STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
,,232,CLX,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Phân phối và bán lẻ hàng lâu bền,UPCoM,"86,600,000"
,,233,CMC,CTCP Đầu tư CMC,Phân phối và bán lẻ hàng lâu bền,HNX,"4,561,050"
,,234,CMD,CTCP Vật liệu Xây dựng và Trang trí nội thất Thành phố Hồ Chí Minh,Phân phối và bán lẻ hàng lâu bền,UPCoM,"15,000,000"
,,235,CMF,CTCP Thực phẩm Cholimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,100,000"
,,236,CMG,CTCP Tập đoàn Công nghệ CMC,Phần mềm và dịch vụ,HOSE,"190,439,296"
,,237,CMI,CTCP CMISTONE Việt Nam,Nguyên vật liệu,UPCoM,"15,002,500"
,,238,CMK,CTCP Cơ khí Mạo Khê - Vinacomin,Phân phối và bán lẻ hàng lâu bền,UPCoM,"1,432,578"
,,239,CMM,CTCP Camimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"91,849,998"
,,240,CMN,CTCP Lương thực Thực phẩm Colusa - Miliket,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"4,800,000"
,,241,CMP,CTCP Cảng Chân Mây,Vận tải,UPCoM,"32,405,415"
,,242,CMS,CTCP Tập Đoàn CMH Việt Nam,Tư liệu sản xuất,HNX,"25,452,500"
,,243,CMT,CTCP Công nghệ Mạng và Truyền thông,Phần mềm và dịch vụ,UPCoM,"8,000,000"
